Location,Rating,Time,Devices
Hatcher,5,4,14.666666666666666
Hatcher,3.0,22,147.33333333333331
Hatcher,4.0,6,369.5
Hatcher,2.6666666666666665,16,150.16666666666666
Hatcher,3.333333333333333,22,312.66666666666663
Hatcher,2.1666666666666665,10,28.833333333333332
Hatcher,2.3333333333333335,19,28.083333333333332
Hatcher,2.4166666666666665,7,63.333333333333336
Hatcher,4.75,1,277.75
Hatcher,3.6666666666666665,22,267.3333333333333
Hatcher,3.5,3,360.0
Hatcher,3.0,0,861.0
Hatcher,5,0,981.0
Hatcher,4.5,2,582.5
Hatcher,2.833333333333333,10,2.6666666666666665
Hatcher,2.0,12,0.0
Hatcher,2.3333333333333335,20,104.16666666666666
Hatcher,2.833333333333333,14,115.5
Hatcher,4.916666666666667,5,49.583333333333336
Hatcher,2.833333333333333,20,147.0
Hatcher,3.0,22,129.0
Hatcher,2.5,24,378.5
Hatcher,3.75,5,368.6666666666667
Hatcher,4.5,2,450.0
Hatcher,2.1666666666666665,16,30.833333333333332
Hatcher,3.0,21,220.5
Hatcher,3.25,15,71.25
Hatcher,2.25,9,122.0
Hatcher,2.75,15,243.5
Hatcher,2.0,12,0.0
Hatcher,3.0,15,5.25
Hatcher,2.75,21,19.25
Hatcher,2.0833333333333335,19,11.166666666666666
Hatcher,3.0,9,86.25
Hatcher,5,0,187.0
Hatcher,3.666666666666667,23,287.9166666666667
Hatcher,2.1666666666666665,10,97.16666666666666
Hatcher,2.5,14,76.16666666666666
Hatcher,3.25,7,404.58333333333337
Hatcher,2.3333333333333335,14,25.333333333333332
Hatcher,3.333333333333333,8,286.0
Hatcher,2.25,9,87.0
Hatcher,2.6666666666666665,4,322.66666666666663
Hatcher,2.3333333333333335,10,125.83333333333333
Hatcher,4.5,6,129.0
Hatcher,2.6666666666666665,14,91.0
Hatcher,3.6666666666666665,8,238.33333333333331
Hatcher,4.25,3,103.5
Hatcher,3.25,21,189.75
Hatcher,3.0,22,281.66666666666663
Hatcher,2.9166666666666665,1,858.0
Hatcher,2.3333333333333335,22,125.33333333333333
Hatcher,2.0833333333333335,13,29.833333333333332
Hatcher,2.25,11,7.666666666666666
Hatcher,4.333333333333334,5,63.00000000000001
Hatcher,3.6666666666666665,22,323.66666666666663
Hatcher,2.0,12,0.0
Hatcher,2.75,9,121.5
Hatcher,2.25,13,6.916666666666666
Hatcher,2.1666666666666665,20,153.66666666666666
Hatcher,2.6666666666666665,4,382.66666666666663
Hatcher,2.4166666666666665,19,66.25
Hatcher,2.0833333333333335,13,27.25
Hatcher,2.0,18,0.0
Hatcher,3.0,24,393.5
Hatcher,2.6666666666666665,14,55.83333333333333
Hatcher,3.833333333333333,1,512.4166666666666
Hatcher,2.3333333333333335,19,53.33333333333333
Hatcher,2.25,17,31.5
Hatcher,4.75,1,541.75
Hatcher,2.5,20,58.0
Hatcher,2.75,15,114.75
Hatcher,2.833333333333333,20,104.33333333333333
Hatcher,4.75,1,460.16666666666663
Hatcher,2.3333333333333335,11,9.25
Hatcher,3.666666666666667,7,20.833333333333336
Hatcher,2.5,9,147.5
Hatcher,2.6666666666666665,10,53.83333333333333
Hatcher,5,0,556.0
Hatcher,2.0,18,0.0
Hatcher,5,0,975.0
Hatcher,3.666666666666667,23,237.5
Hatcher,3.333333333333333,22,19.666666666666664
Hatcher,2.833333333333333,10,149.5
Hatcher,2.833333333333333,10,158.16666666666666
Hatcher,2.75,3,69.0
Hatcher,2.3333333333333335,14,29.666666666666664
Hatcher,4.333333333333334,5,309.75
Hatcher,2.6666666666666665,22,252.66666666666666
Hatcher,2.75,15,28.0
Hatcher,2.1666666666666665,16,139.16666666666666
Hatcher,2.0,12,0.0
Hatcher,2.0,18,0.0
Hatcher,3.0,24,409.0
Hatcher,2.4166666666666665,23,375.0
Hatcher,4.916666666666667,5,270.6666666666667
Hatcher,2.1666666666666665,10,125.5
Hatcher,2.0,18,0.0
Hatcher,2.25,9,12.25
Hatcher,2.3333333333333335,20,91.66666666666666
Hatcher,5,0,442.0
Hatcher,2.0833333333333335,19,53.33333333333333
Hatcher,4.0,6,227.0
Hatcher,2.9166666666666665,1,625.1666666666666
Hatcher,5,2,602.5
Hatcher,5,0,556.0
Hatcher,5.0,0,401.0
Hatcher,4.083333333333334,7,411.25
Hatcher,4.75,1,741.5833333333333
Hatcher,2.6666666666666665,20,62.33333333333333
Hatcher,2.1666666666666665,17,54.83333333333333
Hatcher,3.25,15,15.0
Hatcher,2.25,11,79.83333333333333
Hatcher,3.6666666666666665,22,152.0
Hatcher,2.75,15,4.5
Hatcher,2.6666666666666665,10,64.5
Hatcher,2.0833333333333335,13,55.33333333333333
Hatcher,2.0,18,0.0
Hatcher,2.5,6,126.0
Hatcher,2.25,21,61.25
Hatcher,2.833333333333333,10,4.0
Hatcher,3.333333333333333,4,348.0
Hatcher,3.5,24,478.0
Hatcher,2.9166666666666665,1,626.0833333333333
Hatcher,3.0,6,334.5
Hatcher,3.333333333333333,22,64.33333333333333
Hatcher,3.25,7,56.25
Hatcher,3.5,6,489.0
Hatcher,2.0,18,0.0
Hatcher,3.333333333333333,8,147.0
Hatcher,3.75,5,190.75
Hatcher,2.0833333333333335,11,6.75
Hatcher,4.75,1,94.41666666666666
Hatcher,2.5833333333333335,5,226.91666666666669
Hatcher,3.0,9,112.0
Hatcher,2.25,9,41.0
Hatcher,3.5,3,334.5
Hatcher,2.75,3,496.5
Hatcher,2.0833333333333335,17,20.916666666666664
Hatcher,3.6666666666666665,22,200.33333333333331
Hatcher,3.25,15,68.25
Hatcher,2.3333333333333335,22,124.33333333333333
Hatcher,2.0833333333333335,17,35.0
Hatcher,2.5,6,21.5
Hatcher,3.0,8,3.6666666666666665
Hatcher,2.0,18,0.0
Hatcher,4.25,3,248.25
Hatcher,3.0,21,21.25
Hatcher,2.5,21,98.5
Hatcher,2.1666666666666665,17,75.75
Hatcher,3.0,6,365.0
Hatcher,2.5,15,210.5
Hatcher,2.25,19,16.333333333333332
Hatcher,3.333333333333333,8,26.333333333333332
Hatcher,2.5,21,229.5
Hatcher,5,2,213.33333333333334
Hatcher,2.3333333333333335,13,59.08333333333333
Hatcher,2.8333333333333335,2,731.6666666666667
Hatcher,3.0,6,365.0
Hatcher,3.0,21,143.75
